DATE,Daily_Mean_PM,Daily_AQI_Value,AQI_Targeted_Value_LAG_1
14-10-2022,0.055333333,56.66666667,45.33333333
15-10-2022,0.049,45.33333333,31
16-10-2022,0.033666667,31,34.33333333
17-10-2022,0.037333333,34.33333333,34
18-10-2022,0.037,34,31
19-10-2022,0.033333333,31,45
20-10-2022,0.048666667,45,48
21-10-2022,0.052,48,39.66666667
22-10-2022,0.042666667,39.66666667,34.66666667
23-10-2022,0.037666667,34.66666667,25.66666667
24-10-2022,0.027666667,25.66666667,30.33333333
25-10-2022,0.033,30.33333333,34
26-10-2022,0.036666667,34,40.66666667
27-10-2022,0.044,40.66666667,27.33333333
28-10-2022,0.029333333,27.33333333,25.66666667
29-10-2022,0.027666667,25.66666667,40.33333333
30-10-2022,0.043333333,40.33333333,37
31-10-2022,0.04,37,41.66666667
01-11-2022,0.044666667,41.66666667,36
02-11-2022,0.039,36,21
03-11-2022,0.022666667,21,15.66666667
04-11-2022,0.016666667,15.66666667,25
05-11-2022,0.027,25,37.33333333
06-11-2022,0.040333333,37.33333333,10.5
07-11-2022,0.0115,10.5,26.33333333
08-11-2022,0.028333333,26.33333333,31.66666667
09-11-2022,0.034333333,31.66666667,24
10-11-2022,0.026,24,20.66666667
11-11-2022,0.022666667,20.66666667,30.33333333
12-11-2022,0.032666667,30.33333333,30.33333333
13-11-2022,0.032666667,30.33333333,13
14-11-2022,0.014,13,15
15-11-2022,0.016,15,21.33333333
16-11-2022,0.023,21.33333333,24.33333333
17-11-2022,0.026,24.33333333,23
18-11-2022,0.025,23,22.66666667
19-11-2022,0.024666667,22.66666667,26.33333333
20-11-2022,0.028333333,26.33333333,23
21-11-2022,0.025,23,23
22-11-2022,0.024666667,23,18.33333333
23-11-2022,0.02,18.33333333,20
24-11-2022,0.021666667,20,17.33333333
25-11-2022,0.018333333,17.33333333,13.66666667
26-11-2022,0.014666667,13.66666667,30
27-11-2022,0.032333333,30,30
28-11-2022,0.0325,30,25.33333333
29-11-2022,0.027333333,25.33333333,23
30-11-2022,0.025,23,21.66666667
01-12-2022,0.023333333,21.66666667,13.33333333
02-12-2022,0.014333333,13.33333333,22.33333333
03-12-2022,0.024333333,22.33333333,16.66666667
04-12-2022,0.017666667,16.66666667,18.66666667
05-12-2022,0.02,18.66666667,15.33333333
06-12-2022,0.016333333,15.33333333,10.66666667
07-12-2022,0.011333333,10.66666667,2.666666667
08-12-2022,0.003,2.666666667,11.33333333
09-12-2022,0.012333333,11.33333333,16.33333333
10-12-2022,0.017333333,16.33333333,17.66666667
11-12-2022,0.019,17.66666667,17.66666667
12-12-2022,0.018666667,17.66666667,19.66666667
13-12-2022,0.021333333,19.66666667,18.66666667
14-12-2022,0.020333333,18.66666667,28.66666667
15-12-2022,0.030666667,28.66666667,25
16-12-2022,0.027,25,31
17-12-2022,0.033666667,31,33.33333333
18-12-2022,0.036333333,33.33333333,25.33333333
19-12-2022,0.027333333,25.33333333,29
20-12-2022,0.031,29,23
21-12-2022,0.025,23,30
22-12-2022,0.032,30,32
23-12-2022,0.035,32,28
24-12-2022,0.03,28,28.5
25-12-2022,0.031,28.5,26
26-12-2022,0.028,26,20
27-12-2022,0.0215,20,36.5
28-12-2022,0.0395,36.5,26
29-12-2022,0.028,26,12.5
30-12-2022,0.0135,12.5,30
01-01-2023,0.0325,30,22
02-01-2023,0.0235,22,28.5
03-01-2023,0.031,28.5,23
04-01-2023,0.0245,23,25
05-01-2023,0.027,25,32.5
06-01-2023,0.035,32.5,24.5
07-01-2023,0.0265,24.5,31
08-01-2023,0.0335,31,35
09-01-2023,0.038,35,34
10-01-2023,0.0365,34,32.5
11-01-2023,0.035,32.5,31.5
12-01-2023,0.034,31.5,26.5
13-01-2023,0.0285,26.5,34.5
14-01-2023,0.037,34.5,36
15-01-2023,0.039,36,29.5
16-01-2023,0.032,29.5,29
17-01-2023,0.0315,29,35.5
18-01-2023,0.038,35.5,28
19-01-2023,0.03,28,30
20-01-2023,0.0325,30,22.5
21-01-2023,0.0245,22.5,34
22-01-2023,0.037,34,31
23-01-2023,0.0335,31,20
24-01-2023,0.0215,20,25.5
25-01-2023,0.0275,25.5,28
26-01-2023,0.03,28,36
27-01-2023,0.039,36,26
28-01-2023,0.028,26,17
29-01-2023,0.018,17,19.5
30-01-2023,0.021,19.5,23
31-01-2023,0.025,23,23
01-02-2023,0.025,23,15.5
02-02-2023,0.0165,15.5,22
03-02-2023,0.024,22,34.5
04-02-2023,0.0375,34.5,36
05-02-2023,0.039,36,31.5
06-02-2023,0.034,31.5,21
07-02-2023,0.0225,21,20
08-02-2023,0.022,20,24
09-02-2023,0.026,24,23
10-02-2023,0.025,23,28
11-02-2023,0.03,28,34
12-02-2023,0.037,34,30
13-02-2023,0.032,30,33
14-02-2023,0.036,33,26
15-02-2023,0.028,26,29
16-02-2023,0.031,29,33
18-02-2023,0.036,33,31
19-02-2023,0.034,31,25
20-02-2023,0.027,25,32
21-02-2023,0.035,32,33
22-02-2023,0.036,33,25
23-02-2023,0.027,25,16
24-02-2023,0.017,16,9.5
25-02-2023,0.0105,9.5,33
26-02-2023,0.036,33,34
27-02-2023,0.037,34,38.5
28-02-2023,0.0415,38.5,9
01-03-2023,0.01,9,28.5
02-03-2023,0.0305,28.5,35.5
03-03-2023,0.0385,35.5,47.5
04-03-2023,0.0515,47.5,44.5
05-03-2023,0.0485,44.5,42
06-03-2023,0.045,42,16.5
07-03-2023,0.0175,16.5,15
08-03-2023,0.016,15,19.5
09-03-2023,0.021,19.5,30
10-03-2023,0.0325,30,24.5
11-03-2023,0.0265,24.5,33.5
12-03-2023,0.0365,33.5,36.5
13-03-2023,0.0395,36.5,39.5
14-03-2023,0.0425,39.5,43.5
15-03-2023,0.047,43.5,33
16-03-2023,0.036,33,36.5
17-03-2023,0.0395,36.5,40
18-03-2023,0.043,40,42
19-03-2023,0.045,42,36.5
20-03-2023,0.0395,36.5,21
21-03-2023,0.023,21,33
22-03-2023,0.036,33,30
23-03-2023,0.0325,30,23
24-03-2023,0.025,23,43
25-03-2023,0.0465,43,65.5
26-03-2023,0.0595,65.5,40.5
27-03-2023,0.0435,40.5,44
28-03-2023,0.047,44,40.5
29-03-2023,0.0435,40.5,29.66666667
30-03-2023,0.032,29.66666667,44.33333333
31-03-2023,0.048,44.33333333,48.66666667
01-04-2023,0.052666667,48.66666667,31.33333333
02-04-2023,0.034,31.33333333,37.66666667
03-04-2023,0.040666667,37.66666667,28.66666667
04-04-2023,0.030666667,28.66666667,39
05-04-2023,0.042,39,31.5
06-04-2023,0.034,31.5,33.33333333
07-04-2023,0.036333333,33.33333333,46
08-04-2023,0.05,46,38.33333333
09-04-2023,0.041333333,38.33333333,35.33333333
10-04-2023,0.038333333,35.33333333,43
11-04-2023,0.046,43,42.33333333
12-04-2023,0.045666667,42.33333333,45.33333333
13-04-2023,0.049,45.33333333,34.33333333
14-04-2023,0.037333333,34.33333333,37.66666667
15-04-2023,0.040666667,37.66666667,45
16-04-2023,0.048666667,45,58
17-04-2023,0.056666667,58,42.66666667
18-04-2023,0.046333333,42.66666667,38
19-04-2023,0.041,38,34.66666667
20-04-2023,0.037666667,34.66666667,49.66666667
21-04-2023,0.053,49.66666667,41
22-04-2023,0.044,41,36.33333333
23-04-2023,0.039333333,36.33333333,45
24-04-2023,0.048333333,45,37.33333333
25-04-2023,0.040333333,37.33333333,27
26-04-2023,0.029,27,31.66666667
27-04-2023,0.034333333,31.66666667,36.33333333
28-04-2023,0.039333333,36.33333333,39
29-04-2023,0.042,39,54.33333333
30-04-2023,0.055333333,54.33333333,47.66666667
01-05-2023,0.051666667,47.66666667,65.33333333
02-05-2023,0.059333333,65.33333333,69.33333333
03-05-2023,0.060666667,69.33333333,37.33333333
04-05-2023,0.040333333,37.33333333,48.33333333
05-05-2023,0.051333333,48.33333333,39.33333333
06-05-2023,0.042333333,39.33333333,35.33333333
07-05-2023,0.038333333,35.33333333,33.66666667
08-05-2023,0.036666667,33.66666667,30.66666667
09-05-2023,0.033,30.66666667,36
10-05-2023,0.039,36,34.66666667
11-05-2023,0.037666667,34.66666667,33.33333333
12-05-2023,0.036333333,33.33333333,50.66666667
13-05-2023,0.054,50.66666667,23.66666667
14-05-2023,0.025666667,23.66666667,46.66666667
15-05-2023,0.050333333,46.66666667,35.33333333
16-05-2023,0.038333333,35.33333333,56.66666667
17-05-2023,0.055333333,56.66666667,70.66666667
18-05-2023,0.061,70.66666667,44.5
19-05-2023,0.048,44.5,46
20-05-2023,0.049666667,46,49.33333333
21-05-2023,0.051666667,49.33333333,103.3333333
22-05-2023,0.071333333,103.3333333,67.33333333
23-05-2023,0.06,67.33333333,79
24-05-2023,0.063666667,79,53.66666667
25-05-2023,0.055333333,53.66666667,93
26-05-2023,0.068,93,76
27-05-2023,0.062666667,76,63.33333333
28-05-2023,0.058666667,63.33333333,55.33333333
29-05-2023,0.056333333,55.33333333,49
30-05-2023,0.053,49,63
31-05-2023,0.058666667,63,61
01-06-2023,0.058,61,53
02-06-2023,0.055666667,53,75.66666667
03-06-2023,0.062666667,75.66666667,75
04-06-2023,0.062333333,75,61.66666667
05-06-2023,0.058,61.66666667,64
06-06-2023,0.059,64,154
07-06-2023,0.087666667,154,109.3333333
08-06-2023,0.073,109.3333333,96
09-06-2023,0.069,96,51
10-06-2023,0.054333333,51,60.66666667
11-06-2023,0.057333333,60.66666667,45.33333333
12-06-2023,0.049333333,45.33333333,19
13-06-2023,0.020333333,19,49.33333333
14-06-2023,0.052333333,49.33333333,39.33333333
15-06-2023,0.042333333,39.33333333,55.66666667
16-06-2023,0.055666667,55.66666667,44.33333333
17-06-2023,0.048,44.33333333,74.66666667
18-06-2023,0.062,74.66666667,39.33333333
19-06-2023,0.042333333,39.33333333,37.5
20-06-2023,0.0405,37.5,36.33333333
21-06-2023,0.039333333,36.33333333,48
22-06-2023,0.052,48,42
23-06-2023,0.045,42,35.33333333
24-06-2023,0.038333333,35.33333333,34.66666667
25-06-2023,0.037666667,34.66666667,39.66666667
26-06-2023,0.042666667,39.66666667,42
27-06-2023,0.045333333,42,41.66666667
28-06-2023,0.044666667,41.66666667,41.66666667
29-06-2023,0.044666667,41.66666667,35
30-06-2023,0.038,35,43
01-07-2023,0.046333333,43,39.5
02-07-2023,0.0425,39.5,45
03-07-2023,0.048666667,45,39.33333333
04-07-2023,0.042333333,39.33333333,34.33333333
05-07-2023,0.037333333,34.33333333,38
