DATE,Daily_Mean_PM,Daily_AQI_Value,AQI_Targeted_Value_LAG_7
2023-03-19,5.633333333333333,31.666666666666668,58.0
2023-03-20,8.2,45.5,41.0
2023-03-21,5.9,33.0,48.0
2023-03-22,8.033333333333333,44.333333333333336,60.0
2023-03-23,10.4,53.5,57.5
2023-03-24,7.1000000000000005,39.5,55.333333333333336
2023-03-25,11.1,54.5,52.5
2023-03-26,12.75,58.0,60.5
2023-03-27,7.4,41.0,63.0
2023-03-28,8.866666666666667,48.0,70.5
2023-03-29,13.8,60.0,52.0
2023-03-30,12.5,57.5,26.75
2023-03-31,11.533333333333331,55.333333333333336,33.0
2023-04-01,9.95,52.5,40.0
2023-04-02,14.25,60.5,54.333333333333336
2023-04-03,15.566666666666668,63.0,37.0
2023-04-04,19.6,70.5,46.5
2023-04-05,9.65,52.0,51.0
2023-04-06,4.8,26.75,44.5
2023-04-07,5.9,33.0,38.0
2023-04-08,7.2,40.0,31.33333333333333
2023-04-09,10.8,54.333333333333336,26.0
2023-04-10,6.699999999999999,37.0,48.5
2023-04-11,8.5,46.5,51.75
2023-04-12,9.6,51.0,50.0
2023-04-13,8.100000000000001,44.5,66.0
2023-04-14,6.8,38.0,44.66666666666666
2023-04-15,5.666666666666667,31.33333333333333,44.0
2023-04-16,4.7,26.0,33.0
2023-04-17,8.75,48.5,39.66666666666666
2023-04-18,9.625,51.75,52.0
2023-04-19,9.5,50.0,47.5
2023-04-20,16.95,66.0,27.33333333333333
2023-04-21,8.033333333333333,44.66666666666666,34.0
2023-04-22,7.949999999999999,44.0,22.0
2023-04-23,5.95,33.0,30.0
2023-04-24,7.2,39.66666666666666,23.5
2023-04-25,9.7,52.0,46.0
2023-04-26,8.5,47.5,46.0
2023-04-27,4.933333333333334,27.33333333333333,59.5
2023-04-28,6.05,34.0,59.5
2023-04-29,3.9,22.0,61.5
2023-04-30,5.425,30.0,54.0
2023-05-01,4.300000000000001,23.5,62.5
2023-05-02,8.3,46.0,58.0
2023-05-03,8.433333333333332,46.0,46.0
2023-05-04,13.55,59.5,67.66666666666667
2023-05-05,13.45,59.5,73.0
2023-05-06,14.65,61.5,29.0
2023-05-07,10.7,54.0,32.666666666666664
2023-05-08,15.35,62.5,34.75
2023-05-09,12.766666666666666,58.0,26.0
2023-05-10,8.433333333333334,46.0,34.333333333333336
2023-05-11,18.0,67.66666666666667,45.25
2023-05-12,20.86,73.0,47.0
2023-05-13,5.233333333333333,29.0,77.66666666666667
2023-05-14,5.833333333333333,32.666666666666664,60.75
2023-05-15,6.275,34.75,69.66666666666667
2023-05-16,4.666666666666667,26.0,71.66666666666667
2023-05-17,6.233333333333333,34.333333333333336,64.2
2023-05-18,8.2,45.25,56.66666666666666
2023-05-19,8.733333333333333,47.0,68.0
2023-05-20,23.4,77.66666666666667,74.0
2023-05-21,14.225,60.75,70.0
2023-05-22,19.166666666666668,69.66666666666667,60.333333333333336
2023-05-23,20.23333333333333,71.66666666666667,52.5
2023-05-24,16.259999999999998,64.2,57.333333333333336
2023-05-25,12.1,56.66666666666666,60.66666666666666
2023-05-26,18.23333333333333,68.0,64.25
2023-05-27,21.325,74.0,36.0
2023-05-28,19.3,70.0,33.0
2023-05-29,14.0,60.333333333333336,45.8
2023-05-30,10.2,52.5,59.5
2023-05-31,12.366666666666667,57.333333333333336,59.0
2023-06-01,14.233333333333334,60.66666666666666,55.0
2023-06-02,16.275,64.25,51.5
2023-06-03,6.466666666666666,36.0,40.5
2023-06-04,5.933333333333334,33.0,38.66666666666666
2023-06-05,8.24,45.8,31.0
2023-06-06,13.45,59.5,61.5
2023-06-07,13.3,59.0,67.75
2023-06-08,11.3,55.0,71.0
2023-06-09,9.95,51.5,54.0
2023-06-10,7.25,40.5,62.25
2023-06-11,6.966666666666666,38.66666666666666,57.0
2023-06-12,5.55,31.0,56.5
2023-06-13,14.75,61.5,64.66666666666667
2023-06-14,18.25,67.75,72.5
2023-06-15,19.96666666666667,71.0,57.5
2023-06-16,11.1,54.0,58.0
2023-06-17,15.05,62.25,53.5
2023-06-18,12.3,57.0,43.0
2023-06-19,12.1,56.5,49.66666666666666
2023-06-20,16.333333333333332,64.66666666666667,52.0
2023-06-21,20.65,72.5,56.5
2023-06-22,12.65,57.5,51.5
2023-06-23,12.966666666666669,58.0,51.0
2023-06-24,10.6,53.5,37.0
2023-06-25,7.75,43.0,43.333333333333336
2023-06-26,9.233333333333333,49.66666666666666,53.0
2023-06-27,9.7,52.0,54.66666666666666
2023-06-28,12.15,56.5,49.75
2023-06-29,9.725,51.5,41.0
2023-06-30,9.65,51.0,41.333333333333336
2023-07-01,6.6,37.0,41.333333333333336
2023-07-02,7.766666666666667,43.333333333333336,35.0
2023-07-03,10.2,53.0,56.0
2023-07-04,11.066666666666668,54.66666666666666,52.5
2023-07-05,9.175,49.75,58.0
2023-07-06,7.399999999999999,41.0,52.5
2023-07-07,7.466666666666666,41.333333333333336,67.5
2023-07-08,7.399999999999999,41.333333333333336,63.333333333333336
2023-07-09,6.25,35.0,53.333333333333336
2023-07-10,12.0,56.0,69.0
2023-07-11,9.975,52.5,63.0
2023-07-12,12.9,58.0,68.0
2023-07-13,9.9,52.5,67.66666666666667
2023-07-14,18.05,67.5,66.0
2023-07-15,15.833333333333334,63.333333333333336,33.0
2023-07-16,10.3,53.333333333333336,53.4
2023-07-17,18.55,69.0,58.333333333333336
2023-07-18,15.75,63.0,58.333333333333336
2023-07-19,18.05,68.0,67.75
2023-07-20,18.2,67.66666666666667,72.0
2023-07-21,17.1,66.0,70.33333333333333
2023-07-22,5.9,33.0,67.75
2023-07-23,10.46,53.4,64.33333333333333
2023-07-24,13.0,58.333333333333336,65.0
2023-07-25,12.933333333333332,58.333333333333336,64.0
2023-07-26,18.025,67.75,56.333333333333336
2023-07-27,20.3,72.0,49.66666666666666
2023-07-28,19.46666666666667,70.33333333333333,42.4
2023-07-29,18.175,67.75,55.0
2023-07-30,16.23333333333333,64.33333333333333,46.66666666666666
2023-07-31,16.7,65.0,52.5
2023-08-01,16.05,64.0,54.333333333333336
2023-08-02,12.033333333333331,56.333333333333336,46.66666666666666
2023-08-03,9.233333333333333,49.66666666666666,54.25
2023-08-04,7.62,42.4,52.333333333333336
2023-08-05,11.066666666666668,55.0,52.66666666666666
2023-08-06,8.366666666666667,46.66666666666666,50.75
2023-08-07,9.9,52.5,50.66666666666666
2023-08-08,11.0,54.333333333333336,25.33333333333333
2023-08-09,8.433333333333334,46.66666666666666,29.4
2023-08-10,10.725,54.25,53.66666666666666
2023-08-11,9.8,52.333333333333336,54.66666666666666
2023-08-12,10.066666666666668,52.66666666666666,54.0
2023-08-13,9.3,50.75,61.0
2023-08-14,9.2,50.66666666666666,72.0
2023-08-15,4.6000000000000005,25.33333333333333,65.25
2023-08-16,5.3,29.4,66.5
2023-08-17,10.433333333333332,53.66666666666666,70.0
2023-08-18,10.966666666666669,54.66666666666666,71.5
2023-08-19,10.675,54.0,67.66666666666667
2023-08-20,14.3,61.0,56.0
2023-08-21,20.4,72.0,43.0
2023-08-22,16.725,65.25,54.66666666666666
2023-08-23,17.25,66.5,61.0
2023-08-24,19.433333333333334,70.0,69.75
2023-08-25,20.025,71.5,58.333333333333336
2023-08-26,18.133333333333336,67.66666666666667,59.0
2023-08-27,11.733333333333334,56.0,60.0
2023-08-28,7.82,43.0,49.0
2023-08-29,11.1,54.66666666666666,41.5
2023-08-30,14.5,61.0,42.0
2023-08-31,19.175,69.75,45.0
2023-09-01,13.066666666666668,58.333333333333336,50.0
2023-09-02,13.3,59.0,48.25
2023-09-03,13.966666666666669,60.0,57.0
2023-09-04,9.05,49.0,55.0
2023-09-05,7.449999999999999,41.5,57.25
2023-09-06,7.566666666666666,42.0,54.0
2023-09-07,8.1,45.0,54.0
2023-09-08,8.95,50.0,57.0
2023-09-09,8.775,48.25,60.0
2023-09-10,12.45,57.0,56.0
2023-09-11,11.1,55.0,56.66666666666666
2023-09-12,12.425,57.25,58.66666666666666
2023-09-13,11.0,54.0,54.0
2023-09-14,10.6,54.0,46.6
2023-09-15,12.233333333333334,57.0,41.66666666666666
2023-09-16,13.85,60.0,42.333333333333336
2023-09-17,12.0,56.0,33.25
2023-09-18,12.266666666666666,56.66666666666666,37.0
2023-09-19,13.033333333333331,58.66666666666666,52.66666666666666
2023-09-20,10.966666666666669,54.0,62.5
2023-09-21,8.6,46.6,69.0
2023-09-22,7.5,41.66666666666666,62.5
2023-09-23,7.566666666666666,42.333333333333336,50.75
2023-09-24,5.975,33.25,55.66666666666666
2023-09-25,6.65,37.0,61.333333333333336
2023-09-26,10.0,52.66666666666666,50.0
