DATE,Daily_Mean_Ozone,Daily_AQI_Value,AQI_Targeted_Value_LAG_1
2022-04-24,0.031333333,29.0,33.666666666666664
2022-04-25,0.036666667,33.666666666666664,45.0
2022-04-26,0.048333333,45.0,41.66666666666666
2022-04-27,0.045,41.66666666666666,33.0
2022-04-28,0.035666667,33.0,27.33333333333333
2022-04-29,0.029333333,27.33333333333333,46.0
2022-04-30,0.049666667,46.0,48.333333333333336
2022-05-01,0.052333333,48.333333333333336,28.666666666666668
2022-05-02,0.030666667,28.666666666666668,18.0
2022-05-03,0.019333333,18.0,29.0
2022-05-04,0.031,29.0,27.33333333333333
2022-05-05,0.029333333,27.33333333333333,60.66666666666666
2022-05-06,0.057,60.66666666666666,34.0
2022-05-07,0.036666667,34.0,37.0
2022-05-08,0.04,37.0,37.0
2022-05-09,0.04,37.0,36.66666666666666
